ID,Type,Name,Train ,Test ,Class,Length,Datapoints,TS2Vec(B4),TS2Vec(B8),TS2Vec(B16),T-Loss,TNC,TS-TCC,TST,DTW,,,
112,EPG,InsectEPGSmallTrain,17,249,3,601,10217,1,1,1,1,1,1,1,0.735,,,
61,Simulated,ShapeletSim,20,180,2,500,10000,0.989,1,0.994,0.672,0.589,0.683,0.489,0.65,,,
69,Image,Symbols,25,995,6,398,9950,0.973,0.976,0.972,0.963,0.885,0.916,0.786,0.95,,,
20,ECG,ECG200,100,100,2,96,9600,0.89,0.92,0.88,0.94,0.83,0.88,0.83,0.77,,,
2,Image,ArrowHead,36,175,3,251,9036,0.823,0.857,0.817,0.766,0.703,0.737,0.771,0.703,,,
100,Sensor,FreezerSmallTrain,28,2850,2,301,8428,0.894,0.87,0.872,0.933,0.982,0.979,0.92,0.753,,,
25,Image,FaceFour,24,88,4,350,8400,0.864,0.932,0.932,0.92,0.659,0.773,0.511,0.83,,,
10,Spectro,Coffee,28,28,2,286,8008,1,1,1,1,1,1,0.821,1,,,
31,Motion,GunPoint,50,150,2,150,7500,0.983,0.98,0.987,0.98,0.967,0.993,0.827,0.907,,,
94,Sensor,DodgerLoopGame,20,138,2,288,5760,0.826,0.841,0.819,0,0,0,0.696,0.877,,,
95,Sensor,DodgerLoopWeekend,20,138,2,288,5760,0.942,0.964,0.942,0,0,0,0.732,0.949,,,
15,Image,DiatomSizeReduction,16,306,4,345,5520,0.983,0.984,0.987,0.984,0.993,0.977,0.961,0.967,,,
128,Simulated,UMD,36,144,3,150,5400,1,1,0.993,0.993,0.993,0.986,0.91,0.993,,,
90,Simulated,BME,30,150,3,128,3840,0.973,0.993,0.98,0.993,0.973,0.933,0.76,0.9,,,
7,Simulated,CBF,30,900,3,128,3840,1,1,1,0.983,0.983,0.998,0.898,0.997,,,
101,HRM,Fungi,18,186,18,201,3618,0.962,0.957,0.946,1,0.527,0.753,0.366,0.839,,,
22,ECG,ECGFiveDays,23,861,2,136,3128,1,1,1,1,0.999,0.878,0.763,0.768,,,
127,Simulated,SmoothSubspace,150,150,3,15,2250,0.967,0.98,0.993,0.96,0.913,0.953,0.827,0.827,,,
74,ECG,TwoLeadECG,23,1139,2,82,1886,0.982,0.986,0.987,0.999,0.993,0.976,0.871,0.905,,,
65,Sensor,SonyAIBORobotSurface2,27,953,2,65,1755,0.89,0.871,0.889,0.889,0.834,0.907,0.745,0.831,,,
48,Sensor,MoteStrain,20,1252,2,84,1680,0.857,0.861,0.863,0.851,0.825,0.843,0.768,0.835,,,
38,Sensor,ItalyPowerDemand,67,1029,2,24,1608,0.961,0.925,0.96,0.954,0.928,0.955,0.845,0.95,,,
64,Sensor,SonyAIBORobotSurface1,20,601,2,70,1400,0.874,0.903,0.9,0.902,0.804,0.899,0.724,0.725,,,
91,Traffic,Chinatown,20,343,2,24,480,0.968,0.965,0.959,0.951,0.977,0.983,0.936,0.957,,,
